"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 30 17:10:49 UTC 2024","Mon Dec 30 17:11:03 UTC 2024","14015","TestCases","test_LoginPageDDT","TestLogin","","","test_login_ddt",""
"passed","Tue Dec 31 20:33:20 UTC 2024","Tue Dec 31 20:33:27 UTC 2024","7027","","test_LoginPage","TestLogin","","","test_login_with_valid_credentials",""
"passed","Tue Dec 31 20:33:14 UTC 2024","Tue Dec 31 20:33:14 UTC 2024","0","","test_HomePage","TestHomePage","","","test_enter_product_into_search_box",""
"passed","Mon Dec 30 17:09:50 UTC 2024","Mon Dec 30 17:09:50 UTC 2024","0","TestCases","test_HomePage","TestHomePage","","","test_enter_product_into_search_box",""
"passed","Mon Dec 30 17:10:35 UTC 2024","Mon Dec 30 17:10:42 UTC 2024","7181","TestCases","test_LoginPage","TestLogin","","","test_login_with_invalid_password",""
"passed","Tue Dec 31 20:33:51 UTC 2024","Tue Dec 31 20:34:05 UTC 2024","14569","","test_LoginPageDDT","TestLogin","","","test_login_ddt",""
"passed","Tue Dec 31 20:33:41 UTC 2024","Tue Dec 31 20:33:47 UTC 2024","6650","","test_LoginPage","TestLogin","","","test_login_with_invalid_password",""
"passed","Tue Dec 31 20:33:30 UTC 2024","Tue Dec 31 20:33:37 UTC 2024","6646","","test_LoginPage","TestLogin","","","test_login_with_invalid_email",""
"passed","Mon Dec 30 17:10:18 UTC 2024","Mon Dec 30 17:10:25 UTC 2024","6800","TestCases","test_LoginPage","TestLogin","","","test_login_with_invalid_email",""
"passed","Mon Dec 30 17:09:59 UTC 2024","Mon Dec 30 17:10:06 UTC 2024","7416","TestCases","test_LoginPage","TestLogin","","","test_login_with_valid_credentials",""
